category,type,latitude,longitude,datacontactorg,retention,dataprocessing,title
Camera,Nummerplaatherkenning,51.053752,3.718900,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,001-ANPRVYS00010
Camera,Nummerplaatherkenning,51.055350,3.718790,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,005-ANPRVYS00012
Camera,Nummerplaatherkenning,51.054798,3.725840,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,023-ANPRVYS00111
Camera,Nummerplaatherkenning,51.054798,3.725890,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,022-ANPRVYS00112
Camera,Nummerplaatherkenning,51.056702,3.719600,Stad Gent Mobiliteit,2 weken,"Enkel bus, taxi en prioritaire voertuigen toegelaten",008-ANPRVYS00451
Camera,Nummerplaatherkenning,51.058102,3.726160,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,014-ANPRVYS00481
Camera,Nummerplaatherkenning,51.056301,3.726130,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,017-ANPRVYS00712
Camera,Nummerplaatherkenning,51.056499,3.725880,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,019-ANPRVYS00711
Camera,Nummerplaatherkenning,51.051399,3.728590,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,030-ANPRVYS00531
Camera,Nummerplaatherkenning,51.052200,3.725180,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,033-ANPRVYS00561
Camera,Nummerplaatherkenning,51.052200,3.725120,Stad Gent Mobiliteit,2 weken,Toegangscontrole voetgangersstraat tussen 11u en 18u,033-ANPRVYS00561
Camera,Nummerplaatherkenning,51.052399,3.720180,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,042-ANPRVYS00581
Camera,Nummerplaatherkenning,51.051102,3.719720,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,050-ANPRVYS00611
Camera,Nummerplaatherkenning,51.052299,3.725010,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,052-ANPRVYS00562
Camera,Nummerplaatherkenning,51.052299,3.725010,Stad Gent Mobiliteit,2 weken,Toegangscontrole voetgangersstraat tussen 11u en 18u,052-ANPRVYS00562
Camera,Nummerplaatherkenning,51.046398,3.718980,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,308-ANPRVYS00701
Camera,Nummerplaatherkenning,51.038300,3.725950,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,066-ANPRVYS00681
Camera,Nummerplaatherkenning,51.040600,3.725580,Stad Gent Mobiliteit,2 weken,Toegangscontrole autovrij gebied,064-ANPRVYS00671
Camera,Nummerplaatherkenning,51.056999,3.728420,Stad Gent Mobiliteit,2 weken,Controle negeren doorgangsverbod,303-ANPRVYS00501
Camera,Nummerplaatherkenning,51.057598,3.728040,Stad Gent Mobiliteit,2 weken,Controle negeren doorgangsverbod,302-ANPRVYS00502
Camera,Nummerplaatherkenning,51.050201,3.730060,Stad Gent Mobiliteit,2 weken,Controle negeren doorgangsverbod,307A-ANPRVYS00661
Camera,Nummerplaatherkenning,51.049999,3.730540,Stad Gent Mobiliteit,2 weken,Controle negeren doorgangsverbod,307B-ANPRVYS00662
Camera,Nummerplaatherkenning,51.057701,3.707950,Stad Gent Mobiliteit,2 weken,Controle negeren doorgangsverbod,314B-ANPRVYS00621
Camera,Nummerplaatherkenning,51.057800,3.707000,Stad Gent Mobiliteit,2 weken,Controle negeren doorgangsverbod,314A-ANPRVYS00622
Camera,Nummerplaatherkenning,51.050598,3.721510,Stad Gent Mobiliteit,2 weken,,070-ANPRVYS00601
Camera,Nummerplaatherkenning,51.058800,3.721050,Stad Gent Mobiliteit,2 weken,,009-ANPRVYS00461
Camera,Nummerplaatherkenning,51.055401,3.726440,Stad Gent Mobiliteit,2 weken,,021-ANPRVYS00511
Camera,Nummerplaatherkenning,51.051701,3.726700,Stad Gent Mobiliteit,2 weken,,031-ANPRVYS00541
Camera,Nummerplaatherkenning,51.050499,3.725880,Stad Gent Mobiliteit,2 weken,,055-ANPRVYS00751
Camera,Nummerplaatherkenning,51.050499,3.725880,Stad Gent Mobiliteit,2 weken,Toegangscontrole voetgangersstraat tussen 11u en 18u,055-ANPRVYS00751
Camera,Nummerplaatherkenning,51.046299,3.722110,Stad Gent Mobiliteit,2 weken,,312-ANPRVYS00691
Camera,Nummerplaatherkenning,51.051998,3.723370,Stad Gent Mobiliteit,2 weken,,034-ANPRVYS00571
Camera,Nummerplaatherkenning,51.050800,3.726080,Stad Gent Mobiliteit,2 weken,,059-ANPRVYS00801
Camera,Nummerplaatherkenning,51.050598,3.727470,Stad Gent Mobiliteit,2 weken,,060-ANPRVYS00811
Camera,Nummerplaatherkenning,51.053699,3.730910,Stad Gent Mobiliteit,2 weken,,028-ANPR.YS00
